District_Name,Rain_Fall,Temp,Humidity
Angul,1274.78,27.02916667,73.275
Balangir,1412.3,27.12,71.43333333
Balasore,1246.26,26.00333849,75.275
Bargard,1339.7,27.34,71.15833333
Bhadrak,1322.14,27.6,76.54333333
Boudh,1261.32,26.61118056,70.35902369
Cuttack,1637.34,27.57,80.05
Deogarh,1205.66,27.74669211,78.45642021
Dhenkanal,1398.96,27.355,75.4212963
Gajapati,1318.48,27.63,69.93333333
Ganjam,1198.16,26.68972222,67.45378472
Jagatsinghpur,1360.8,25.42,70.325
Jajapur,1418.12,25.6055347,75.79577206
Jharsuguda,1386.9,27.43002451,75.67884528
Kalahandi,1505.94,27.13284722,76.35069036
Kandhamal,1543.36,25.3575,77.03333333
Kendrapada,1421.38,27.50916667,77.06333333
Kendujhar,1469.28,27.18,73.395
Khordha,1367.72,26.06430921,67.78645833
Koraput,1315.4,26.90803255,73.10454044
Malkangiri,1417.18,26.87286269,65.03523944
Mayurbhamj,1386.26,26.58943805,71.99024806
Nabaranpur,1733.92,26.56434204,71.8641361
Nayagrh,1474.02,26.53924603,71.73802415
Nuapada,1156.34,26.51415002,71.6119122
Puri,1342.54,26.48905401,71.48580024
Rayagada,1311.76,26.463958,71.35968828
Sambalpur,1535.7,26.43886199,71.23357633
Sonpur,1299.42,26.41376597,71.10746437
Sundargarh,1305.2,26.38866996,70.98135242
