DISTRICT,SOIL TYPE 1
ANGUL,RED AND YELLOW SOIL&RED SOIL
BALANGIR,BLACK SOIL &RED SOIL
BALASORE,ALLUVIAL SOIL & LITERITE SOIL & SALINE SOIL
BALASORE,SALINE SOIL & LITERITE SOIL & ALLUVIAL SOIL
BARGARH,LITERITE SOIL & RED SOIL & RED AND BLACK SOIL
BHADRAK,ALLUVIAL SOIL  & LITERITE SOIL &SALINE SOIL
CUTTACK,ALLUVIAL SOIL  & LITERITE SOIL & BLACK
DEOGARH,RED SOIL & RED AND YELLOW SOIL
DHENKANAL,RED SOIL & LITERITE SOIL
GAJATATI,LITERITE SOIL & BROWN FOREST
GANJAM,ALLUVIAL SOIL & BLACK & BROWN FOREST & SALINE SOIL
JAGATSINGPUR,ALLUVIAL SOIL & LITERITE SOIL & SALINE SOIL
JAJPUR,ALLUVIAL SOIL & LITERITE SOIL
JHARSUGUDA,LITERITE SOIL & RED SOIL & RED AND BLACK SOIL
KALAHANDI,BLACK SOIL &RED SOIL
KEONJHAR,RED SOIL & LITERITE SOIL
KHURDA,ALLUVIAL SOIL & LITERITE SOIL & RED SOIL
KORATUT,RED SOIL
KUNDRATARA,ALLUVIAL SOIL & SALINE SOIL
MALKANGIRI,BLACK SOIL &RED SOIL
NABARANGPUR,BLACK SOIL &RED SOIL
NAYAGARH,ALLUVIAL SOIL & BLACK& RED SOIL
NAYURVHANJ,RED SOIL & LITERITE SOIL & ALLUVIAL SOIL
NUAPADA,BLACK SOIL &RED SOIL
PHULBANI,RED SOIL & BLACK SOIL & BROWN FOREST
PURI,ALLUVIAL SOIL & LITERITE SOIL & SALINE SOIL
RAYAGADA,BLACK SOIL  & RED SOIL
SAMBALPUR,RED AND BLACK SOIL & RED AND YELLOW SOIL
SUNDARGARH,RED SOIL & LITERITE SOIL & RED AND YELLOW SOIL
