District ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Balasore,0,11.8,50.1,26.1,75.4,287.2,339.5,212.9,183.8,537.8,34.3,16,1774.9
Bhadrak,0,37.9,66.8,10.3,50.7,248.5,464.7,193.4,315,661.6,3.7,0,2052.6
Bolangir,0,15.5,1.9,11.5,1.4,90,409.5,607.4,379.7,115.6,1.2,36.1,1669.8
Sonepur,0,5,5.7,3.5,1.2,155.2,291.3,579,339.9,119.6,0,18.2,1518.6
Cuttack,0,19.2,20.5,1,25.6,197,370.8,436.1,214.3,436.7,36.6,19.1,1776.9
Jagatsinghpur,0,11.1,8.9,0.5,21.3,167.1,307.6,346.6,325.5,485.8,13.4,14.9,1702.7
Jajpur,0,10.5,32,29.2,27.3,266.8,408.4,426.2,306.5,469.1,1.5,12.8,1990.3
Kendrapara,0,0.6,5.5,0,15.9,213.4,438.3,395.6,294.2,636.3,0,0,1999.8
Dhenkanal,0,11.6,0,12.7,28.1,196.1,324.1,415.4,249.3,333.4,8.1,12.8,1591.6
Angul,0,7.3,7.7,26.8,20.2,263.5,404.1,472.6,348.8,221.1,8.6,13.5,1794.2
Ganjam,0,19.7,3.2,12.7,25.5,68,250.2,309,165,499.3,2.6,41.3,1396.5
Gajapati,0,43.6,48.2,57,35.1,99.1,267.9,268.2,171.4,544.2,13.7,33.1,1581.5
Kalahandi,0,2.8,11.2,7.8,1.9,113.5,496.8,786.2,494.7,181,0,37.4,2133.3
Nuapada,0,0,9.4,7.6,0,61,311.4,429.8,293.4,164.8,5,18.6,1301
Keonjhar,0,25.7,37.5,41,66.5,205.3,314.7,208.1,160.7,297.2,16.7,11.9,1385.3
Koraput,0,0,30.8,41.8,0,68.4,411.6,444.2,190.7,186.2,0,53.2,1426.9
Malkanagiri,0,0,0.6,0,0,145.7,778.7,582.1,89.2,139.9,0,21,1757.2
Nawarangpur,0.2,0.2,27.4,28.7,0,48.6,447.2,564.2,233.7,168.8,15.4,59.7,1594.1
Rayagada,0,14.9,16.3,51.7,9.6,86.8,276.3,325,221.5,244.2,0.8,70.1,1317.2
Mayurbhanj,0,20.1,47.4,36.8,69.8,257,279.9,214.9,147.3,311.5,17.5,11.2,1413.4
Phulbani,0,35.2,37.4,80.4,30.1,153.7,434.2,543.6,415.3,331.3,14.3,48.7,2124.2
Boudh,0,31.5,51.7,9.2,3.7,211.8,429.5,620.9,285.7,159.7,3,41.3,1848
Puri,0,0,6.1,0,9.5,136.1,246.2,377.1,203.3,454.2,8.2,25.3,1466
Khorda,0,24.5,2.7,3.5,6.2,160.1,327,530.1,262,521.2,8.4,21.8,1867.5
Nayagarh,0,11.2,26,43.1,22.3,168,317.3,491.9,169.9,324.9,21.8,32.9,1629.3
Sambalpur,0,14.8,3.9,18.2,3,312,340.3,414.5,371,159.7,18.6,24.8,1680.8
Bargarh,0,0,0,0,0,131.4,315.7,560.5,345.2,147.8,5.2,11.9,1517.7
Deogarh,0,10,1,31.3,13.2,251.3,307.6,374.4,398,200.2,12.7,13.5,1613.2
Jharsuguda,0,17.6,8.6,10.8,3.4,362.2,252.9,412,380.4,164.6,29.4,9.8,1651.7
Sundargarh,0,6.6,0,0,6.4,258.2,254.3,302.1,265.8,204.2,18.4,11.8,1327.8
State Average,0,13.6,19,20.1,19.1,179.4,360.6,428.1,274,314.1,10.6,24.8,1663.5
