Year,Name of the Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002,Balsore,70,75,69,67,58,73,74,81,83,69,68,63
2002,Chandbali,NA,84,82,76,70,,85,,,93,,
2002,Cuttack,78,87,79,73,66,73,76,85,88,84,7,81
2002,Paradeep,81,82,75,80,75,76,75,86,90,80,82,76
2002,Bhubaneswar,71,82,77,73,69,82,82,89,87,80,73,74
2002,Gopalpur,83,87,77,82,83,77,78,87,83,84,81,81
2002,Puri,77,83,79,86,76,82,80,87,86,81,77,76
2002,Angul,NA,67,57,61,75,NA,NA,NA,NA,71,NA,NA
2002,Baripada,NA,81,75,76,NA,NA,NA,NA,NA,93,NA,NA
2002,Jharsuguda,60,71,44,30,41,71,78,90,86,77,66,69
2002,Keonjhar,67,80,59,50,49,71,76,86,85,79,68,68
2002,Sambalpur,NA,68,63,43,58,NA,90,NA,NA,70,NA,NA
2002,Sundargarh,NA,72,58,46,38,NA,NA,NA,NA,NA,NA,NA
2002,Bhawanipatna,NA,37,42,29,26,NA,NA,NA,NA,64,NA,NA
2002,Bolangir,NA,75,55,47,45,NA,NA,NA,NA,86,NA,NA
2002,Koraput,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA
2002,Phulbani,NA,86,74,70,58,NA,NA,NA,NA,85,NA,NA
2002,Titlagarh,NA,71,60,45,40,NA,NA,NA,NA,NA,NA,NA
