Year,Name of the station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
2005,Balasore,70,63,69,67,69,70,81,79,79,80,59,59
2005,Chandabali,83,79,78,72,69,72,86,84,85,86,79,NA
2005,Cuttack,84,85,85,81,76,78,89,86,89,91,78,75
2005,Paradeep,80,80,81,82,80,82,89,87,86,90,75,71
2005,Bhubaneswar,74,75,78,74,73,74,89,86,90,89,75,68
2005,Gopalpur,82,81,83,80,77,78,83,80,84,83,77,73
2005,Puri,77,83,85,84,82,83,86,84,84,86,71,68
2005,Angul,58,61,66,68,65,61,80,75,NA,NA,NA,NA
2005,Baripada,81,70,72,NA,65,70,89,86,85,90,78,71
2005,Jharsuguda,73,72,53,44,48,57,84,88,81,80,68,69
2005,Keonjhar,80,67,59,50,58,64,87,84,86,90,69,67
2005,Sambalpur,82,79,72,55,51,56,86,88,84,86,83,81
2005,Sundargarh,77,67,56,45,47,59,84,NA,78,82,69,75
2005,Bhawanipatna,49,47,44,49,60,69,90,86,78,70,59,52
2005,Bolangir,NA,53,49,39,43,52,79,85,77,85,66,67
2005,Koraput,60,52,50,46,50,70,NA,NA,NA,NA,NA,NA
2005,Phulbani,88,76,72,58,60,71,84,87,89,89,86,84
2005,Titlagarh,72,59,51,48,61,54,68,59,61,71,61,55
