Year,Name of the station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,Balasore,62,59,60,67,65,76,81,83,81,69,69,63
2006,Chandabali,78,82,73,72,72,79,84,88,84,80,80,76
2006,Cuttack,78,79,81,76,76,82,84,90,88,83,84,82
2006,Paradeep,81,88,77,79,79,85,87,91,88,81,79,75
2006,Bhubaneswar,72,69,72,73,74,85,85,90,87,81,78,70
2006,Gopalpur,78,69,74,81,78,85,83,85,83,81,85,83
2006,Puri,74,78,80,84,78,85,85,86,83,77,79,71
2006,Angul,63,47,53,59,71,48,67,75,69,65,58,53
2006,Baripada,71,56,58,69,71,82,86,90,87,76,77,71
2006,Jharsuguda,69,57,62,54,62,68,85,88,82,75,73,69
2006,Keonjhar,66,53,56,58,70,76,84,88,88,77,79,69
2006,Sambalpur,85,81,70,60,65,73,86,89,87,85,87,83
2006,Sundargarh,65,62,48,43,54,71,NA,89,81,72,75,70
2006,JHirakud,NA,NA,NA,NA,65,68,87,89,81,77,80,69
2006,Bhawanipatna,52,50,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Bolangir,60,49,57,50,55,70,83,85,76,70,73,61
2006,Koraput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Phulbani,85,76,69,64,68,78,85,88,89,85,87,86
2006,Titlagarh,NA,52,48,73,75,55,NA,NA,NA,NA,NA,NA
2006,Malkangiri,NA,46,NA,44,70,NA,NA,NA,NA,NA,NA,NA
