"","Year","Name.of.the.Station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2003,"Balsore",71,63,66,67,69,76,83,80,79,79,63,65
"2",2003,"Chandbali",79.0833333333333,82,75,76,73,81,87,87,84,88,81,81
"3",2003,"Cuttack",85,79,78,77,75,77,83,87,86,89,78,79
"4",2003,"Paradeep",83,78,82,83,79,85,88,86,89,86,74,74
"5",2003,"Bhubaneswar",82,74,72,73,70,79,87,90,89,90,78,75
"6",2003,"Gopalpur",86,77,81,83,84,87,83,85,84,87,78,79
"7",2003,"Puri",80,78,83,85,83,89,87,88,85,85,74,74
"8",2003,"Angul",76,60,64.0769230769231,65,63,69,82,83,82,83.2,73,74
"9",2003,"Baripada",79.0833333333333,68.2307692307692,64.0769230769231,66.9285714285714,74,81,90,88,92,94,85,88
"10",2003,"Jharsuguda",77,62,48,52,35,66,84,86,88,82,74,77
"11",2003,"Keonjhar",76,58,43,48,58,70,86,87,86,86,73,75
"12",2003,"Sambalpur",84,70,62,56,40,64,83,89,83,83,84,85
"13",2003,"Sundargarh",79.0833333333333,68.2307692307692,64.0769230769231,66.9285714285714,60,57,82,83,86,78,73.8,73.4666666666667
"14",2003,"Bhawanipatna",79.0833333333333,68.2307692307692,64.0769230769231,66.9285714285714,18,50,85,83,86,76,69,58
"15",2003,"Bolangir",75,45,48,42,41,71.5625,82.6875,84.3125,83.9375,83.2,73.8,73.4666666666667
"16",2003,"Koraput",79.0833333333333,68.2307692307692,44,55,60,61,52,60,62,64,56,42
"17",2003,"Phulbani",79.0833333333333,68.2307692307692,64.0769230769231,66.9285714285714,59,71.5625,82.6875,84.3125,83.9375,83.2,73.8,73.4666666666667
"18",2003,"Titlagarh",74,61,51,75,39,53,81,87,82,81,67,76
