"","Year","Name.of.the.station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2011,"Balasore",63.5,61,63.5,68,72.5,76.5,75.5,82,81,71,65.5,63
"2",2011,"Chandabali",74.5,71.5,70.5,72.5,76.5,84.5,83,87.5,87.5,78.5,75,71.5
"3",2011,"Cuttack",69,68.5,66.5,62.7777777777778,62.8611111111111,74.9705882352941,80.3823529411765,86.2058823529412,85.28125,72.75,67.8125,66.84375
"4",2011,"Paradeep",76.5,75.5,77,77.5,80.5,84,81,83.5,83,75,70,71.5
"5",2011,"Bhubaneswar",65,66,65,67,72,83.5,88,92.5,90.5,77.5,64.5,62.5
"6",2011,"Gopalpur",77,76,75.5,78,81,81.5,80.5,84,79,70,71,71
"7",2011,"Puri",70,74,76,75.5,80,79,77.5,82,78.5,67.5,64,64.5
"8",2011,"Angul",62.5,68,62.5,64.5,64.5,75.5,83.5,88.5,86,76,74,74
"9",2011,"Baripada",85,82.5,66,64.5,74,82,80.5,89,85.5,73,65.5,63.5
"10",2011,"Jharsuguda",47.5,42,33,40.5,40.5,65.5,76.5,85.5,84,65,56.5,56
"11",2011,"Keonjhar",54.5,54.5,49.5,59.5,62,78.5,81,88.5,88,72.5,63,63.5
"12",2011,"Sambalpur",69.5,65,53,55,50,68,80,87,88,76,73.5,74.5
"13",2011,"Sundargarh",68.5,66.5,47.5,53,51.5,70.5,82,89,85.28125,72.75,67.8125,66.84375
"14",2011,"Hirakud",65,62,50.5,54.5,49.5,68.5,82,87,89,73.5,68,64.5
"15",2011,"Bhawanipatna",61.5,59,42.5,49,51.5,67.5,79,85.5,86.5,70,67.5,65.5
"16",2011,"Bolangir",61.5,67,49,59.5,49.5,71,83.5,89,91.5,75,72,70
"17",2011,"Koraput",87.5,83,76,81.5,72.5,74.9705882352941,80.3823529411765,86.2058823529412,85.28125,72.75,67.8125,66.84375
"18",2011,"Phulbani",72,69,59,64,56.5,74.5,81.5,87.5,88.5,80,76.5,74.5
"19",2011,"Titlagarh",54.5,66,39,46,47,64,71.5,77.5,78,63.5,58.5,59.5
"20",2011,"Malkangiri",67.6315789473684,67.2105263157895,59.0263157894737,62.7777777777778,62.8611111111111,74.9705882352941,80.3823529411765,86.2058823529412,85.28125,72.75,67.8125,66.84375
"21",2011,"Talcher",67.6315789473684,67.2105263157895,59.0263157894737,62.7777777777778,62.8611111111111,74.9705882352941,80.3823529411765,86.2058823529412,85.28125,72.75,67.8125,66.84375
