Name of the station,Jan(Max),Jan(Min),Feb(Max),Feb(Min) ,Mar(Max),Mar(Min) ,Apr(Max),Apr(Min) ,May(Max),May(Min) ,Jun(Max),Jun(Min),Jul(Max),Jul(Min),Aug(Max),Aug(Min) ,Sep(Max),Sep(Min),Oct(Max),Oct(Min),Nov(Max),Nov(Min),Dec(Max),Dec(Min)
Balsore,26,13,29,19,32,21,36,25,39,27,34,25,34,27,32,26,31,25,32,23,29,18,27,15
Chandbali,NA,NA,31,19,36,21,38,25,41,27,NA,NA,37,25,NA,NA,NA,NA,34,23,NA,NA,NA,NA
Cuttack,30,13,31,19,34,32,38,25,40,25,36,24,35,25,33,24,33,23,34,22,31,17,30,14
Paradeep,27,16,30,21,31,24,33,26,34,27,33,27,33,27,31,26,31,26,32,25,30,21,30,17
Bhubaneswar,29,15,32,20,35,22,40,26,38,27,35,26,34,26,32,25,32,25,33,24,30,18,31,15
Gopalpur,27,16,30,25,31,23,31,25,32,26,32,27,33,27,31,26,32,26,32,24,30,19,29,17
Puri,27,17,29,22,31,25,32,27,33,27,33,28,33,28,31,27,32,27,32,26,30,20,29,18
Angul,NA,NA,32,16,31,17,40,22,43,25,NA,NA,NA,NA,NA,NA,NA,NA,34,23,NA,NA,NA,NA
Baripada,NA,NA,28,18,35,23,39,26,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,32,24,NA,NA,NA,NA
Jharsuguda,28,12,30,17,35,20,41,26,42,27,36,26,34,26,31,24,32,25,33,22,30,16,29,13
Keonjhar,26,10,29,16,32,17,38,22,38,24,33,24,31,25,29,23,30,23,31,20,29,14,27,NA
Sambalpur,NA,NA,32,12,35,16,41,22,42,28,35,NA,34,25,33,NA,NA,NA,33,NA,32,NA,NA,NA
Sundargarh,NA,NA,30,15,34,17,41,24,42,27,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhawanipatna,NA,NA,33,17,36,18,40,23,41,26,41,NA,NA,NA,NA,NA,NA,NA,34,20,NA,NA,NA,NA
Bolangir,NA,NA,34,19,21,16,38,25,43,NA,35,NA,35,NA,29,NA,NA,NA,33,31,NA,NA,NA,NA
Koraput,NA,NA,NA,NA,NA,NA,37,NA,39,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA
Phulbani,NA,NA,31,14,33,16,38,22,39,18,33,NA,32,NA,27,NA,NA,NA,31,26,NA,NA,NA,NA
Titlagarh ,NA,NA,36,19,37,20,41,25,44,19,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
