"","Name.of.the.Station","Jan.Max.","Jan.Min.","Feb.Max.","Feb.Min.","Mar.Max.","Mar.Min.","Apr.Max.","Apr.Min.","May.Max.","May.Min.","Jun.Max.","Jun.Min.","Jul.Max.","Jul.Min.","Aug.Max.","Aug.Min.","Sep.Max.","Sep.Min.","Oct.Max.","Oct.Min.","Nov.Max.","Nov.Min.","Dec.Max.","Dec.Min."
"1","Balsore",28,17,31,18,33,22,36,24,35,25,32,26,31,25,33,26,33,25,32,24,30,21,30,16
"2","Chandbali",29,18,30,17,31,21,38,25,37,26,32,25,29,25,33,25,33,25,31,24,30,22,30,17
"3","Cuttack",30,16,34,18,36,22,38,24,38,25,33,24,31,23,33,24,35,24,34,23,32,20,33,15
"4","Paradeep",28,19,30,20,32,25,32,26,33,27,32,27,30,25,32,26,33,26,32,26,30,23,30,18
"5","Bhubaneswar",29,17,33,20,36,23,38,26,40,26,34,26,31,25,32,26,33,25,33,24,31,22,31,15
"6","Gopalpur",27,19,31,21,31,24,30,25,33,26,32,25,31,25,32,25,34,24,33,22,30,20,30,15
"7","Puri",27,20,30,22,31,26,32,27,33,28,32,27,31,27,32,27,33,27,33,26,30,23,29,19
"8","Angul",30,15,30,10,34.0833333333333,21.3333333333333,39,24.1666666666667,40,24,27,21,30.6428571428571,22,32.5,24.5384615384615,33.5,23.75,34,22,29,19,30.1538461538462,14
"9","Baripada",27,15,25,13,34.0833333333333,21.3333333333333,37.6,24.1666666666667,37,25,34,25,32,25,33,27,35,25,31,23,29,20,28,13
"10","Jharsuguda",28,14,31,17,36,20,40,25,42,27,34,25,32,25,34,26,36,24,34,23,33,19,32,13
"11","Keonjhar",27,12,29,14,33,18,37,22,37,24,31,23,30,24,31,24,31,22,30,21,28,16,29,11
"12","Sambalpur",29,13,32,15,37,20,40,24,42,22,34,20,30,23,33,24,34,22,34,21,32,15,30,8
"13","Sundargarh",30,12,30.5384615384615,16.3076923076923,34.0833333333333,21.3333333333333,43,26,42,21,35,19,30.6428571428571,24.0769230769231,34,20,33.5,23.75,33,17,30.0714285714286,15.1333333333333,30.1538461538462,13.5714285714286
"14","Bhawanipatna",28,13,30.5384615384615,16.3076923076923,38,24,42,24.1666666666667,42,23,40,23.8571428571429,30.6428571428571,24.0769230769231,32.5,24.5384615384615,33.5,23.75,32.9333333333333,22,29,15,32,14
"15","Bolangir",28.3333333333333,15.1333333333333,30.5384615384615,16.3076923076923,34.0833333333333,21.3333333333333,41,24.1666666666667,43,24.875,37,23.8571428571429,32,24.0769230769231,34,24.5384615384615,33.5,23.75,32.9333333333333,22,30.0714285714286,15.1333333333333,30.1538461538462,13.5714285714286
"16","Koraput",28.3333333333333,15.1333333333333,30.5384615384615,16.3076923076923,34.0833333333333,21.3333333333333,37.6,24.1666666666667,38.5882352941176,24.875,33.7058823529412,23.8571428571429,30.6428571428571,24.0769230769231,32.5,24.5384615384615,33.5,23.75,32.9333333333333,22,30.0714285714286,15.1333333333333,30.1538461538462,13.5714285714286
"17","Phulbani",28,7,31,7,35,11,38,16,39,21,32,21,29,19,29,19,32,16,31,15,28,11,28,2
"18","Titlagarh ",28.3333333333333,15.1333333333333,30.5384615384615,16.3076923076923,34.0833333333333,21.3333333333333,37.6,24.1666666666667,43,28,42,23.8571428571429,30,24.0769230769231,32.5,24.5384615384615,33.5,23.75,39,19,30.0714285714286,15.1333333333333,30.1538461538462,13.5714285714286
