"","Name.of.the.station","Jan.Max.","Jan.Min.","Feb.Max.","Feb.Min.","Mar.Max.","Mar.Min.","Apr.Max.","Apr.Min.","May.Max.","May.Min.","Jun.Max.","Jun.Min.","Jul.Max.","Jul.Min.","Aug.Max.","Aug.Min.","Sep.Max.","Sep.Min.","Oct.Max.","Oct.Min.","Nov.Max.","Nov.Min.","Dec.Max.","Dec.Min."
"1","Balsore",26,13,29,19,32,21,36,25,39,27,34,25,34,27,32,26,31,25,32,23,29,18,27,15
"2","Chandbali",27.5,14,31,19,36,21,38,25,41,27,35.625,25.875,37,25,30.8181818181818,25.125,31.625,25,34,23,30.1111111111111,14,29,15.5714285714286
"3","Cuttack",30,13,31,19,34,32,38,25,40,25,36,24,35,25,33,24,33,23,34,22,31,17,30,14
"4","Paradeep",27,16,30,21,31,24,33,26,34,27,33,27,33,27,31,26,31,26,32,25,30,21,30,17
"5","Bhubaneswar",29,15,32,20,35,22,40,26,38,27,35,26,34,26,32,25,32,25,33,24,30,18,31,15
"6","Gopalpur",27,16,30,25,31,23,31,25,32,26,32,27,33,27,31,26,32,26,32,24,30,19,29,17
"7","Puri",27,17,29,22,31,25,32,27,33,27,33,28,33,28,31,27,32,27,32,26,30,20,29,18
"8","Angul",27.5,14,32,16,31,17,40,22,43,25,35.625,25.875,33.75,26.1,30.8181818181818,25.125,31.625,25,34,23,30.1111111111111,14,29,15.5714285714286
"9","Baripada",27.5,14,28,18,35,23,39,26,39.4117647058824,25.3333333333333,38,25.875,33.75,26.1,30.8181818181818,25.125,31.625,25,32,24,30.1111111111111,14,29,15.5714285714286
"10","Jharsuguda",28,12,30,17,35,20,41,26,42,27,36,26,34,26,31,24,32,25,33,22,30,16,29,13
"11","Keonjhar",26,10,29,16,32,17,38,22,38,24,33,24,31,25,29,23,30,23,31,20,29,14,27,15.5714285714286
"12","Sambalpur",27.5,14,32,12,35,16,41,22,42,28,35,25.875,34,25,33,25.125,31.625,25,33,23.6666666666667,32,14,29,15.5714285714286
"13","Sundargarh",27.5,14,30,15,34,17,41,24,42,27,39,25.875,33.75,26.1,30.8181818181818,25.125,31.625,25,32.6666666666667,23.6666666666667,30.1111111111111,14,29,15.5714285714286
"14","Bhawanipatna",27.5,14,33,17,36,18,40,23,41,26,41,25.875,33.75,26.1,30.8181818181818,25.125,31.625,25,34,20,30.1111111111111,14,29,15.5714285714286
"15","Bolangir",27.5,14,34,19,21,16,38,25,43,25.3333333333333,35,25.875,35,26.1,29,25.125,31.625,25,33,31,30.1111111111111,14,29,15.5714285714286
"16","Koraput",27.5,14,31,18.1176470588235,32.8823529411765,20.4705882352941,37,24.4705882352941,39,25.3333333333333,37,25.875,33.75,26.1,30.8181818181818,25.125,31.625,25,32.6666666666667,22,30.1111111111111,14,29,15.5714285714286
"17","Phulbani",27.5,14,31,14,33,16,38,22,39,18,33,25.875,32,26.1,27,25.125,31.625,25,31,26,30.1111111111111,14,29,15.5714285714286
"18","Titlagarh ",27.5,14,36,19,37,20,41,25,44,19,40,25.875,33.75,26.1,30.8181818181818,25.125,31.625,25,32.6666666666667,23.6666666666667,30.1111111111111,14,29,15.5714285714286
