"","Name.of.the.Stations","Jan.Max.","Jan.Min.","Feb.Max.","Feb.Min.","Mar.Max.","Mar.Min.","Apr.Max.","Apr.Min.","May.Max.","May.Min.","Jun.Max.","Jun.Min.","Jul.Max.","Jul.Min.","Aug.Max.","Aug.Min.","Sep.Max.","Sep.Min.","Oct.Max.","Oct.Min.","Nov.Max.","Nov.Min.","Dec.Max.","Dec.Min."
"1","Balasore",28,13,30,17,33,21,36,25,36,26,34,26,33,26,32,25,32,25,32,22,30,19,28,14
"2","Chandabali",28,13,30,16,34,22,38,26,37,26,35,27,33,27,32,26,32,26,32,24,30,20,27,15
"3","Cuttack",29,16,31,19,35,23,37,26,37,27,35,27,33,27,32,26,32,26,33,24,32,20,29,16
"4","Paradeep",28,17,29,20,31,24,31,27,32,27,33,27,32,27,32,27,32,27,32,24,31,21,28,17
"5","Bhubaneswar",30,16,32,19,35,23,37,25,38,26,35,26,33,26,32,26,31,25,32,23,32,20,29,16
"6","Gopalpur",29,17,30,20,31,23,30,25,33,27,31,27,31,27,32,27,31,26,32,23,31,20,29,18
"7","Puri",28,18,29,22,31,25,31,27,34,27,32,28,32,28,32,27,31,27,31,24,31,21,28,18
"8","Angul",29,15,32,16,36,19,40,24,39,25,36,26,33,25,32,25,32,25,32,21,30,17,29,13
"9","Baripada",26,12,29,17,33,20,37,24,37,25,35,25,32,25,32,24,30,24,31,20,28,17,26,13
"10","Jharsuguda",29,12,30,16,35,20,40,23,40,27,37,27,32,25,31,25,32,24,32,21,31,16,29,12
"11","Keonjhar",27,11,28,15,32,18,37,22,36,23,33,24,30,23,30,23,30,23,31,20,28,15,27,12
"12","Sambalpur",29,10,31,15,34,17,39,22,40,25,36,27,31,26,32,26,32,25,32,21,30,17,29,13
"13","Sundargarh",31,9,32,12,36,15,41,21,41,24,37,26,32,24,32,24,31,24,34,19,30,15,28,11
"14","Hirakud",29,13,30,17,34,20,39,24,41,27,33,25,32,25,31,25,32,24,34,20,31,17,29,13
"15","Bhawanipatna",31,11,32,16,36,19,41,25,41,26,37,27,33,26,32,25,32,24,31,20,31,15,29,13
"16","Bolangir",30,12,32,16,36,20,41,25,41,22,37,21,32,24,32,24,32,24,31,22,30,17,29,12
"17","Koraput",29.0526315789474,13.2105263157895,30.6315789473684,16.7368421052632,34.1052631578947,20.2105263157895,37.4736842105263,24,38.1052631578947,25.2631578947368,34.8947368421053,25.5263157894737,31.9473684210526,25.0526315789474,31.6315789473684,24.8947368421053,31.3684210526316,24.5789473684211,31.7894736842105,21.5263157894737,26,11,27,13
"18","Phulbani",28,9,30,13,34,16,38,21,37,24,34,25,30,24,29,23,29,22,29,18,28,13,27,10
"19","Titlagarh",31,12,32,15,35,16,40,19,42,20,38,19,32,17,32,21,32,22,31,22,31,20,32,14
"20","Malkangiri",32,15,33,17,37,23,39,25,42,26,35,25,31,24,32,24,31,24,32,21,31,17,32,16
