"","Nameof.the.Stations","Jan.Max.","Jan.Min.","Feb.Max.","Feb.Min.","Mar.Max.","Mar.Min.","Apr.Max.","Apr.Min.","May.Max.","May.Min.","Jun.Max.","Jun.Min.","Jul.Max.","Jul.Min.","Aug.Max.","Aug.Min.","Sep.Max.","Sep.Min.","Oct.Max.","Oct.Min.","Nov.Max.","Nov.Min.","Dec.Max.","Dec.Min."
"1","Balasore",30,16,32,19,35,21,38,25,35,25,36,27,32,26,33,26,33,25,33,22,31,19,29,15
"2","Chandabali",29,18,32,21,36,23,39,26,37,27,37,27,32,26,33,26,33,26,32,22,31,19,28,15
"3","Cuttack",31,18,35,21,37,23,39,26,37,27,38,27,31,26,33,26,33,26,33,22,31,20,30,17
"4","Paradeep",28,19,30,22,31,24,32,27,32,27,34,24,31,31,32,27,32,27,33,24,31,21,28,17
"5","Bhubaneswar",31,18,35,21,36,23,39,26,38,27,39,27,31,26,33,26,33,26,32,22,32,20,30,16
"6","Gopalpur",30,18,31,22,32,23,32,26,32,27,34,28,30,26,32,27,33,27,33,23,31,21,30,17
"7","Puri",28,20,30,24,32,25,32,27,33,28,34,28,30,26,32,27,33,27,33,24,31,22,28,19
"8","Angul",31,14,34,18,37,19,42,24,41,25,40,26,31,24,34,25,34,25,32,20,30,17,28,12
"9","Baripada",28,15,33,17,37,21,40,24,38,25,35,25,32,25,32,25,33,24,31,20,29,17,27,12
"10","Jharsuguda",31,14,34,16,37,20,42,24,42,27,41,29,31,25,32,25,33,25,32,20,30,17,29,13
"11","Keonjhar",28,14,32,17,35,20,39,24,37,25,36,26,30,24,31,24,31,23,30,18,28,17,27,13
"12","Sambalpur",30,14,33,16,37,20,42,23,44,27,43,27,32,24,33,24,34,24,33,19,30,16,28,11
"13","Sundargarh",29,12,33,15,37,18,41,23,41,26,39,25,30,24,31,24,32,23,31,18,29,15,26,12
"14","Hirakud",30,15,33,17,36,20,41,23,42,27,39,28,32,25,32,25,33,25,32,20,30,19,29,14
"15","Bhawanipatna",31,12,32,15,37,20,40,24,42,27,41,25,31,23,32,24,33,23,32,18,31,17,28,12
"16","Bolangir",30,12,34,14,38,17,42,23,43,24,39,26,30,23,31,23,34,23,32,19,31,14,29,11
"17","Koraput",28,14,34,17,35,18,37,20,36,22,35,21,29,19,29,21,32,21,31,18,28,15,27,12
"18","Phulbani",29,10,33,12,36,16,39,20,40,24,37,24,28,23,30,23,31,23,30,17,28,16,27,10
"19","Titlagarh",31,13,35,14,38,16,42,22,43,28,42,27,31,21,33,25,34,25,32,22,30,19,28,15
"20","Malkangiri",33,15,36,20,38,22,41,26,41,27,37,27,30,24,32,25,34,24,33,22,33,19,31,15
"21","Talcher(Angul)",32,14,36,17,39,18,43,21,42,22,41,23,32,21,35,24,34,24,32,20.5,28,18,28,14
